station,history_days,pred_len,model,MAE,RMSE,NMAE,NRMSE,R2
station04,1,96,MultiStep,2.0004522800445557,3.362142868646342,0.0775561485660833,0.13034794902247077,0.8052893877029419
station04,1,96,Iterative,1.8545387983322144,3.1898515292448155,0.07189918399943801,0.12366833319330604,0.8247337341308594
station04,2,1,MultiStep,0.7593857645988464,1.6630590574429673,0.029440859832400065,0.06447564714232747,0.9521110653877258
station04,2,1,Iterative,0.7553061246871948,1.6609054490564978,0.02928269502025212,0.06439215323765383,0.9522349834442139
station04,2,16,MultiStep,1.6497646570205688,2.998782705658961,0.06396023245108895,0.11626072731527867,0.844166100025177
station04,2,16,Iterative,1.685342788696289,3.1292623824419876,0.06533957196019455,0.12131933396057869,0.8303101062774658
station04,2,96,MultiStep,1.990722894668579,3.339040273646852,0.07717894703760739,0.1294522774246446,0.8067964315414429
station04,2,96,Iterative,2.04856014251709,3.3201008089685873,0.07942125705496635,0.12871800750428597,0.8089818954467773
station04,3,1,MultiStep,0.7776673436164856,1.6660505427539531,0.03014962398161688,0.06459162495470842,0.9520033001899719
station04,3,1,Iterative,0.7155140042304993,1.637837175788589,0.02773998208643986,0.0634978122695758,0.953615128993988
station04,3,16,MultiStep,1.65697181224823,2.9074804511032166,0.06423964886464263,0.11272100217942793,0.853721559047699
station04,3,16,Iterative,1.8972997665405273,3.397878877175088,0.07355699710314255,0.13173340930775812,0.8002151250839233
station04,3,96,MultiStep,2.04988956451416,3.3591497301378013,0.07947279782449147,0.13023190711676627,0.804462194442749
station04,3,96,Iterative,1.7791556119918823,3.165687878239363,0.06897663010624276,0.12273152518944998,0.826336681842804
station04,5,1,MultiStep,0.7404084205627441,1.6628485178080021,0.02870512135558879,0.06446748466658571,0.9518125057220459
station04,5,1,Iterative,0.7261466979980469,1.6543643221566418,0.028152204255256216,0.0641385582808056,0.9523029923439026
station04,5,16,MultiStep,1.521113395690918,2.814531482714948,0.05897251220580813,0.10911743508947756,0.862399697303772
station04,5,16,Iterative,1.7164502143859863,3.1513910945792896,0.0665455852964611,0.12217724879474733,0.8274909853935242
station04,5,96,MultiStep,2.0211756229400635,3.387891942396406,0.07835957820868096,0.13134622276742333,0.8011017441749573
station04,5,96,Iterative,1.8198446035385132,3.2224622633376567,0.07055411411067215,0.12493262875455638,0.8200517892837524
station04,7,1,MultiStep,0.7843838334083557,1.6758468366117156,0.030410017636260448,0.06497142047865499,0.9509329199790955
station04,7,1,Iterative,0.7413638830184937,1.6636876503419717,0.028742163972854208,0.06450001725340139,0.9516423940658569
station04,7,16,MultiStep,1.5969810485839844,2.8598463993573993,0.061913848531513264,0.11087426300406464,0.8570951223373413
station04,7,16,Iterative,1.8487155437469482,3.3016424195581773,0.07167342045473453,0.1280023885386726,0.8095321655273438
station04,7,96,MultiStep,2.047443151473999,3.374816465685651,0.07937795208631046,0.13083929559676916,0.802634060382843
station04,7,96,Iterative,1.92316734790802,3.2787698727818806,0.07455986530629599,0.12711563575103416,0.8137081861495972
station05,1,1,MultiStep,0.9274424314498901,2.257621994693277,0.03132193219630192,0.07624525323055953,0.9378426671028137
station05,1,1,Iterative,0.9580647945404053,2.268946140522628,0.03235612208010117,0.07662769651309671,0.9372175931930542
station05,1,16,MultiStep,2.1039342880249023,3.7764902975229733,0.07105485459832694,0.12754104085370144,0.826073169708252
station05,1,16,Iterative,2.062196969985962,3.734208234949917,0.0696452863045543,0.1261130752440596,0.829945981502533
